timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
188438398,-0.025664965,0.51540196,0.3826634,0.7787252,0.10082376,-0.13550192,-0.6042027
188466371,-0.11484958,0.6349934,0.3274263,0.7830007,0.10429978,-0.12906907,-0.59947705
188498603,-0.085605815,0.6818867,0.34300148,0.7879767,0.10919239,-0.12112874,-0.5937152
188530351,-0.04902038,0.73703295,0.37861657,0.7930004,0.11471697,-0.11220349,-0.58770823
188562465,0.0024756233,0.78441304,0.39665774,0.7979557,0.12080376,-0.102547236,-0.581513
188594334,0.04169805,0.84132516,0.36029834,0.8027214,0.1276738,-0.0924945,-0.5751371
188626382,-0.008136633,0.8907986,0.31526512,0.807232,0.13521875,-0.08246588,-0.5685876
188658481,0.027313618,0.8853146,0.33848405,0.81149155,0.14341082,-0.072262526,-0.5618657
188690484,0.11665877,0.884545,0.3593284,0.81538075,0.15201811,-0.06215586,-0.55514085
188718423,0.044483766,0.89055425,0.315002,0.8185537,0.15955903,-0.053220972,-0.5492526
188750587,0.11820788,0.8701381,0.34179893,0.8219002,0.16816585,-0.043167014,-0.54252833
188783153,0.106200516,0.86782104,0.28370872,0.8250603,0.17661536,-0.032959662,-0.5357202
188815295,0.037014384,0.8191584,0.2908928,0.82791764,0.18466271,-0.023539063,-0.5290541
188847175,0.13134421,0.7805001,0.32462394,0.83050346,0.19248305,-0.014567236,-0.52249604
188879182,0.05218627,0.76336145,0.25979057,0.83294046,0.19965999,-0.0058179083,-0.51605445
188911202,0.03797811,0.6967096,0.29571012,0.83527833,0.20643996,0.0022536707,-0.5095957
188939215,0.045549057,0.66494334,0.25955123,0.83718824,0.21187575,0.008944413,-0.5041276
188971156,0.012478505,0.6040091,0.28633443,0.8393114,0.2176883,0.015789222,-0.49791458
189003209,0.089441955,0.52248895,0.32241622,0.8413275,0.22302727,0.021910906,-0.49188083
189035212,0.08380963,0.4804643,0.29324397,0.84331006,0.22769697,0.02742335,-0.48603523
189067189,0.007208705,0.4433315,0.26238123,0.84529525,0.23177749,0.032142054,-0.48033524
189099228,3.6332756e-05,0.35526714,0.29152623,0.8472695,0.23539943,0.035909194,-0.47479692
189131217,0.06785703,0.27911344,0.32849658,0.84922105,0.23856233,0.03886095,-0.46946934
189163394,0.06142791,0.22424728,0.29950848,0.8511856,0.24100173,0.04113579,-0.4644448
189196014,0.0018736843,0.17203276,0.26882368,0.8532784,0.2426825,0.04262029,-0.45957008
189228051,-0.024408283,0.09550334,0.2606063,0.8553286,0.24381429,0.043021347,-0.455101
189259942,-0.031160377,0.009647741,0.29995885,0.8574087,0.24444273,0.04239188,-0.45088926
189291960,0.04624389,-0.09451075,0.31211698,0.8595131,0.24431618,0.040862005,-0.44707623
189323974,0.025088355,-0.14572234,0.28638917,0.86165017,0.24351658,0.03833948,-0.44360885
189352084,-0.019053886,-0.22496542,0.28212482,0.8635388,0.24233608,0.035244696,-0.44083086
