timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
31466053,31466053,18,255,0,0,0,1508,1514,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
31561940,31561940,18,255,0,0,0,1508,1402,1147,1514,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
31658791,31658791,18,255,0,0,0,1508,1233,1147,1511,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
31754611,31754611,18,255,0,0,0,1508,1250,1147,1506,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
31850654,31850654,18,255,0,0,0,1508,1520,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
31959976,31959976,18,255,0,0,0,1508,1533,1147,1517,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
32055630,32055630,18,255,0,0,0,1508,1515,1147,1572,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
32171402,32171402,18,255,0,0,0,1508,1513,1147,1743,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
32260333,32260333,18,255,0,0,0,1508,1516,1147,1793,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
32356385,32356385,18,255,0,0,0,1508,1509,1147,1762,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
32472135,32472135,18,255,0,0,0,1508,1487,1147,1493,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
32561511,32561511,18,255,0,0,0,1508,1477,1147,1366,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
32681384,32681384,18,255,0,0,0,1508,1464,1147,1288,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
32769063,32769063,18,255,0,0,0,1508,1514,1147,1536,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
32886992,32886992,18,255,0,0,0,1508,1511,1147,1745,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
32982391,32982391,18,255,0,0,0,1508,1513,1147,1790,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
33079109,33079109,18,255,0,0,0,1508,1514,1147,1782,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
33174739,33174739,18,255,0,0,0,1508,1514,1147,1747,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
33271275,33271275,18,255,0,0,0,1508,1515,1147,1570,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
33391736,33391736,18,255,0,0,0,1508,1516,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
33488186,33488186,18,255,0,0,0,1508,1516,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
33584567,33584567,18,255,0,0,0,1508,1516,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
33680782,33680782,18,255,0,0,0,1508,1516,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
33800960,33800960,18,255,0,0,0,1508,1516,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
33897004,33897004,18,255,0,0,0,1508,1516,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
33993012,33993012,18,255,0,0,0,1508,1516,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
34101639,34101639,18,255,0,0,0,1508,1516,1150,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
34197628,34197628,18,255,0,0,0,1509,1516,1231,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
34290051,34290051,18,255,0,0,0,1510,1516,1243,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
34402530,34402530,18,255,0,0,0,1509,1516,1265,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
34498357,34498357,18,255,0,0,0,1510,1516,1277,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
34607165,34607165,18,255,0,0,0,1509,1516,1277,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
34703549,34703549,18,255,0,0,0,1509,1516,1277,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
34812715,34812715,18,255,0,0,0,1509,1516,1278,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
34908857,34908857,18,255,0,0,0,1509,1516,1278,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
35004176,35004176,18,255,0,0,0,1508,1516,1278,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
35112979,35112979,18,255,0,0,0,1510,1516,1327,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
35209422,35209422,18,255,0,0,0,1509,1516,1345,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
35306319,35306319,18,255,0,0,0,1510,1516,1375,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
35401573,35401573,18,255,0,0,0,1510,1516,1377,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
35521502,35521502,18,255,0,0,0,1510,1516,1412,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
35607105,35607105,18,255,0,0,0,1512,1516,1443,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
35726323,35726323,18,255,0,0,0,1512,1516,1474,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
35818613,35818613,18,255,0,0,0,1513,1516,1478,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
35932033,35932033,18,255,0,0,0,1513,1516,1522,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
36029425,36029425,18,255,0,0,0,1513,1516,1541,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
36136599,36136599,18,255,0,0,0,1513,1516,1570,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
36233233,36233233,18,255,0,0,0,1513,1516,1573,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
36328882,36328882,18,255,0,0,0,1514,1516,1602,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
36439082,36439082,18,255,0,0,0,1512,1516,1602,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
36533489,36533489,18,255,0,0,0,1512,1516,1603,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
36645138,36645138,18,255,0,0,0,1512,1516,1604,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
36737724,36737724,18,255,0,0,0,1512,1516,1604,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
36835950,36835950,18,255,0,0,0,1512,1516,1604,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
36942603,36942603,18,255,0,0,0,1512,1516,1604,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
37039464,37039464,18,255,0,0,0,1511,1516,1604,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
37134595,37134595,18,255,0,0,0,1511,1516,1604,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
37243076,37243076,18,255,0,0,0,1510,1516,1601,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
37339768,37339768,18,255,0,0,0,1510,1516,1405,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
