timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
196194113,32767,32767,32767,32767,32767,32767
196198130,32767,32767,32767,32767,32767,32767
196202135,32767,32767,32767,32767,32767,32767
196206113,-81,32767,32767,32767,32767,32767
196210135,32767,32767,32767,32767,32767,32767
196214113,32767,32767,32767,32767,32767,32767
196218129,32767,32767,32767,32767,32767,32767
196222136,32767,32767,32767,32767,32767,32767
196226113,32767,32767,32767,32767,32767,32767
196230148,32767,32767,32767,32767,32767,32767
196234114,32767,32767,32767,32767,32767,32767
196238130,32767,32767,32767,32767,32767,32767
196242113,32767,32767,32767,32767,32767,32767
196246151,32767,32767,32767,32767,32767,32767
196250151,32767,32767,32767,32767,32767,32767
196254113,32767,32767,32767,32767,32767,32767
196258138,32767,32767,32767,32767,32767,32767
196262139,32767,32767,32767,32767,32767,32767
196266133,32767,32767,32767,32767,32767,32767
196270119,32767,32767,32767,32767,32767,32767
196274113,32767,32767,32767,32767,32767,32767
196278144,32767,32767,32767,32767,32767,32767
196282113,32767,32767,32767,32767,32767,32767
196286127,32767,32767,32767,32767,32767,32767
196290153,32767,32767,32767,32767,32767,32767
196294113,32767,32767,32767,32767,32767,32767
196298127,32767,32767,32767,32767,32767,32767
196302114,32767,32767,32767,32767,32767,32767
196306113,32767,32767,32767,32767,32767,32767
196310160,32767,32767,32767,32767,32767,32767
196314113,32767,32767,32767,32767,32767,32767
196318148,32767,32767,32767,32767,32767,32767
196322113,32767,32767,32767,32767,32767,32767
196326113,32767,32767,32767,32767,32767,32767
196330177,32767,32767,32767,32767,32767,32767
196334113,32767,32767,32767,32767,32767,32767
196338116,32767,32767,32767,32767,32767,32767
196342113,32767,32767,32767,32767,32767,32767
196346113,32767,32767,32767,32767,32767,32767
196350147,32767,32767,32767,32767,32767,32767
196354117,32767,32767,32767,32767,32767,32767
196358160,32767,32767,32767,32767,32767,32767
196362117,32767,32767,32767,32767,32767,32767
196366117,32767,32767,32767,32767,32767,32767
196370138,32767,32767,32767,32767,32767,32767
196374118,32767,32767,32767,32767,32767,32767
196378160,32767,32767,32767,32767,32767,32767
