timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
326915057,326914932,0.060134426,0.02321232,-0.06465171,0.39920324,0.0,0.0,0.0,1.0
327019050,327018921,-0.030129481,0.047365073,-0.08002358,0.3959619,0.0,0.0,0.0,1.0
327119043,327118921,0.037176885,0.04396312,-0.07660811,0.39795846,0.0,0.0,0.0,1.0
327220647,327220521,0.038491175,0.007831251,-0.07043964,0.40401933,0.0,0.0,0.0,1.0
327320650,327320521,0.012963155,0.06319445,-0.0630523,0.4053221,0.0,0.0,0.0,1.0
327424676,327424521,-0.0019551143,0.01436059,-0.08288197,0.400862,0.0,0.0,0.0,1.0
327524645,327524521,-0.01819025,0.03151021,-0.10475926,0.4004118,0.0,0.0,0.0,1.0
327624691,327624521,0.04223507,-0.052742634,-0.10904805,0.39390218,0.0,0.0,0.0,1.0
327726249,327726120,0.036895387,-0.16659735,-0.079711735,0.34884244,0.0,0.0,0.0,1.0
327830259,327830120,0.01800624,0.1038579,-0.09430864,0.37008658,0.0,0.0,0.0,1.0
327934253,327934120,-0.070028014,0.14940855,-0.14248398,0.3793488,0.0,0.0,0.0,1.0
328034278,328034145,-0.024031632,0.09557753,-0.15798661,0.35222933,0.0,0.0,0.0,1.0
328138274,328138120,0.061285634,0.031370558,-0.11505655,0.3481808,0.0,0.0,0.0,1.0
328238246,328238120,0.07280824,-0.022191836,-0.13008733,0.36291122,0.0,0.0,0.0,1.0
328339889,328339721,0.005906716,0.009751675,-0.13238114,0.37515876,0.0,0.0,0.0,1.0
328439845,328439721,0.010655283,0.042492177,-0.094749704,0.37916696,0.0,0.0,0.0,1.0
328543845,328543721,0.033508018,0.029542528,-0.13363728,0.38477778,0.0,0.0,0.0,1.0
328643859,328643735,-0.03325867,-0.002872121,-0.13035576,0.3890726,0.0,0.0,0.0,1.0
328747849,328747721,-0.076636635,0.037077148,-0.054388363,0.39253587,0.0,0.0,0.0,1.0
328849447,328849321,0.09273543,0.03796634,-0.10957968,0.39197809,0.0,0.0,0.0,1.0
328949450,328949321,-0.046150297,0.011034476,-0.07363687,0.39071617,0.0,0.0,0.0,1.0
329049497,329049323,0.03264135,0.032392662,-0.12635978,0.39140287,0.0,0.0,0.0,1.0
329153519,329153321,0.01874914,0.021650007,-0.09514037,0.39497143,0.0,0.0,0.0,1.0
329253456,329253321,-0.035464477,0.03795905,-0.09312948,0.39598402,0.0,0.0,0.0,1.0
329354244,329354120,-0.013404164,0.043385748,-0.10503472,0.40170854,0.0,0.0,0.0,1.0
329455043,329454921,0.032087713,0.014699336,-0.11662469,0.39999574,0.0,0.0,0.0,1.0
329559071,329558945,-0.022360027,0.021550806,-0.08789201,0.40469787,0.0,0.0,0.0,1.0
329659087,329658921,0.03156144,0.010211824,-0.11717195,0.4085741,0.0,0.0,0.0,1.0
329763048,329762921,0.05399567,0.03778373,-0.09205646,0.41230354,0.0,0.0,0.0,1.0
329863046,329862921,-0.022086851,0.03535779,-0.09421111,0.41000792,0.0,0.0,0.0,1.0
329963846,329963721,0.075862676,0.026113307,-0.07829262,0.4149152,0.0,0.0,0.0,1.0
330063878,330063751,-0.031752102,0.060724378,-0.07582209,0.40826848,0.0,0.0,0.0,1.0
330167866,330167738,-0.028843231,-0.036341768,-0.132091,0.3861275,0.0,0.0,0.0,1.0
330267845,330267721,0.0025333404,-0.22849813,-0.18167737,0.32742608,0.0,0.0,0.0,1.0
