timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
295451795,0.25835738,-0.06707769,0.45282835
295461784,0.27477667,-0.077351436,0.4481745
295471801,0.26268187,-0.065686025,0.45221192
295481785,0.2556565,-0.07440955,0.44359758
295491795,0.27555898,-0.07181319,0.4508332
295501785,0.25704002,-0.059536994,0.4337796
295511805,0.27818072,-0.07439478,0.448801
295521785,0.2691451,-0.07077347,0.43620136
295531796,0.27079892,-0.07549034,0.4525005
295541824,0.26436684,-0.06668415,0.43388364
295551819,0.26760352,-0.06650696,0.45048267
295561809,0.2908987,-0.08197427,0.4451659
295571803,0.2527688,-0.06428316,0.42164224
295581784,0.26907408,-0.074427165,0.4494563
295591786,0.26944417,-0.074923724,0.45475546
295601784,0.27050364,-0.06911425,0.45408833
295611816,0.25949752,-0.07049272,0.42738497
295621784,0.25648433,-0.06469516,0.45846987
295631826,0.295017,-0.099633165,0.4301237
295641784,0.24459694,-0.052250892,0.43415165
295651816,0.29649982,-0.09298457,0.43325198
295661784,0.26351157,-0.071779385,0.4445341
295671829,0.26548892,-0.07621069,0.4449466
295681784,0.2539648,-0.06638079,0.44861704
295691816,0.273996,-0.06913443,0.44996935
295701784,0.26143542,-0.06887542,0.45140937
295711798,0.2582517,-0.06319936,0.44006407
295721784,0.27974394,-0.07378426,0.4474082
295731815,0.25397593,-0.06471777,0.4348045
295741784,0.30805773,-0.08921891,0.42187592
295751824,0.2655583,-0.067662224,0.42948824
295761784,0.291924,-0.08860185,0.43421417
295771812,0.26890984,-0.072916724,0.44509545
295781784,0.26941738,-0.06736684,0.43526348
295791808,0.26587588,-0.06822994,0.45876682
295801784,0.2698259,-0.06476778,0.4417272
295811802,0.26336405,-0.06516119,0.45094824
295821784,0.26534006,-0.07943305,0.43790036
295831787,0.27321976,-0.07208371,0.4516387
295841784,0.27321976,-0.07208371,0.4516387
295851813,0.25899,-0.065824844,0.44171622
295861784,0.26989955,-0.07512264,0.4486467
295871824,0.26546907,-0.06811842,0.44325647
295881826,0.29134932,-0.07953151,0.436942
295891832,0.2727038,-0.07447363,0.44370976
295901784,0.2534513,-0.06762001,0.44961828
295911812,0.27890083,-0.07955182,0.4419661
295921816,0.26078457,-0.05675393,0.45178837
295931829,0.28194046,-0.0805819,0.44163173
295941799,0.25756952,-0.06285636,0.46607438
295951812,0.27510548,-0.07541874,0.44563973
295961884,0.25417387,-0.061822042,0.45171243
