timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
634329321,0.09823494,-0.019351969,-0.060202576,4000,0,-0.18649234,0.8276035,-9.805815,4000
634333321,0.107890196,-0.012621577,-0.05742633,4000,0,0.3568507,-1.0157218,-10.704435,4000
634337321,-0.002445033,0.017312296,-0.19960819,4000,0,1.016493,-1.1098356,-11.36628,4000
634341321,-0.02766657,0.0044352943,-0.07684014,4000,0,0.78360116,-0.14476995,-10.88377,4000
634345337,-0.060506422,0.016461806,0.05683966,4016,0,0.5659019,-0.2002191,-9.149706,4016
634349362,-0.17011292,0.028925413,0.0032827654,4025,0,-0.17538016,1.2617443,-7.862046,4025
634353321,-0.13856171,0.06723847,0.026769623,3959,0,0.6305393,2.34261,-8.016324,3959
634357321,-0.01013554,0.028084181,0.073993295,4000,0,-0.25615275,2.9451897,-9.546693,4000
634361350,0.027335351,-0.016980888,0.11242894,4029,0,-0.90190566,2.6374073,-11.167005,4029
634365338,-0.027145442,-0.027700486,0.06116961,3988,0,0.5341497,1.0410322,-11.106584,3988
634369321,-0.015382541,-0.031382106,-0.07565345,3983,0,1.5500766,0.32043076,-10.1638975,3983
634373321,0.07871727,-0.0029492248,0.009859861,4000,0,1.8151863,0.05706781,-9.522062,4000
634377321,0.016231678,-0.0041531064,0.08352873,4000,0,1.8105986,-0.45878527,-9.212147,4000
634381358,-0.20592599,-0.01605243,0.014632231,4037,0,1.2096406,1.1553224,-8.842194,4037
634385321,-0.19569768,-0.00066782284,0.020089563,3963,0,2.32398,2.899991,-8.771888,3963
634389321,0.009931548,-0.0052618096,-0.0040805237,4000,0,2.2338736,3.3676534,-9.620375,4000
634393321,0.123206615,-0.0043171905,-0.063313305,4000,0,0.9053041,2.8656561,-10.465281,4000
634397321,0.14199743,-0.042157166,-0.09997236,4000,0,-0.49251378,1.1906588,-10.7689495,4000
