timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
691972943,-0.014106869,0.0339246,1.3540683,0.0,0.77922773,-0.016122688,0.00880184,0.62647164,0.3811102,1.0,1,0,0,0,0,0,0
692076994,-0.01613755,0.033914167,1.3545309,0.0,0.77906615,-0.01691248,0.008157778,0.62666047,0.3789634,1.0,1,0,0,0,0,0,0
692178746,-0.011476333,0.03545822,1.3550019,0.0,0.77894264,-0.015582807,0.010216165,0.6268183,0.37993914,1.0,1,0,0,0,0,0,0
692278480,-0.0145019675,0.03611688,1.3554765,0.0,0.7787633,-0.016969813,0.0095204385,0.62701607,0.37571654,1.0,1,0,0,0,0,0,0
692378754,-0.012423847,0.035073243,1.3559564,0.0,0.7786393,-0.015835872,0.009761685,0.627196,0.37933347,1.0,1,0,0,0,0,0,0
692483016,-0.010908304,0.034404416,1.3567138,0.0,0.7784192,-0.015039922,0.009970826,0.62748545,0.37482193,1.0,1,0,0,0,0,0,0
692582592,-0.017469462,0.0368049,1.3572074,0.0,0.7781876,-0.018348563,0.0088421805,0.6277016,0.37739566,1.0,1,0,0,0,0,0,0
692683631,-0.012155241,0.03456911,1.3576884,0.0,0.7781024,-0.015581597,0.0096361255,0.62787026,0.37604558,1.0,1,0,0,0,0,0,0
692788676,-0.016829316,0.03558332,1.3581713,0.0,0.7779026,-0.017720358,0.008559118,0.6280767,0.3732763,1.0,1,0,0,0,0,0,0
692891840,-0.01599174,0.035152934,1.3586907,0.0,0.77775085,-0.017261723,0.0086502265,0.6282761,0.37460238,1.0,1,0,0,0,0,0,0
692991274,-0.015902715,0.03615423,1.3591961,0.0,0.7775834,-0.017543828,0.009063225,0.6284697,0.36747643,1.0,1,0,0,0,0,0,0
