timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
650933706,-0.20575403,0.28451705,0.32049346,-0.8820781,0.050784968,-6.566466e-05,-0.46835783,0.10171716,0.05032503,0.056192018,-0.9919493,1
650961866,-0.04879916,0.19192399,0.16589853,-0.8806852,0.052880123,-0.0030003712,-0.4707318,0.10171716,0.05032503,0.056192018,-0.9919493,1
650993734,0.13428494,0.18255256,0.28478628,-0.8793756,0.054326303,-0.005609127,-0.47298613,0.10171716,0.05032503,0.056192018,-0.9919493,1
651025679,0.16739999,0.11620915,0.058150608,-0.8787804,0.054579847,-0.007851742,-0.47402996,0.10171716,0.05032503,0.056192018,-0.9919493,1
651057681,-0.07376717,0.10567209,-0.001203638,-0.8786669,0.054416176,-0.009389365,-0.47423124,0.10171716,0.05032503,0.056192018,-0.9919493,1
651089740,-0.03622038,-0.018884547,-0.09373184,-0.87897414,0.05314338,-0.010245961,-0.4737882,0.10171716,0.05032503,0.056192018,-0.9919493,1
651121720,0.2674308,-0.043127343,0.23053011,-0.8792874,0.05097185,-0.010540867,-0.47343907,0.10171716,0.05032503,0.056192018,-0.9919493,1
651153810,0.45367387,-0.113069974,0.061409764,-0.8800338,0.047530442,-0.0103589855,-0.47241318,0.10171716,0.05032503,0.056192018,-0.9919493,1
651185687,0.091952875,-0.11692256,-0.23692022,-0.8812739,0.043352738,-0.009643038,-0.4705144,0.10171716,0.05032503,0.056192018,-0.9919493,1
651217711,0.031842116,-0.19880626,-0.2972819,-0.88259965,0.037991397,-0.0088104,-0.4685052,0.10171716,0.05032503,0.056192018,-0.9919493,1
651249739,0.16736618,-0.27086666,-0.37115893,-0.8841262,0.031988323,-0.007556973,-0.4660908,0.10171716,0.05032503,0.056192018,-0.9919493,1
651281619,0.4058749,-0.26862735,-0.16178659,-0.8855843,0.02581074,-0.0061462717,-0.46372032,0.10171716,0.05032503,0.056192018,-0.9919493,1
651313710,0.41600075,-0.19998965,-0.22247851,-0.887142,0.020525951,-0.004436184,-0.4610186,0.10171716,0.05032503,0.056192018,-0.9919493,1
651345750,0.18236451,-0.17433466,-0.33689177,-0.8888135,0.016750718,-0.002213282,-0.45795768,0.10171716,0.05032503,0.056192018,-0.9919493,1
651375300,0.15592685,-0.14512822,-0.31723207,-0.89033246,0.014025756,-0.0008062368,-0.4550943,0.10171716,0.05032503,0.056192018,-0.9919493,1
