timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
780526921,32767,32767,32767,32767,32767,-52,32767,32767
780530921,32767,32767,-45,32767,32767,32767,32767,32767
780534921,32767,32767,32767,32767,32767,32767,32767,32767
780538924,32767,32767,32767,32767,32767,-71,32767,32767
780542921,32767,32767,32767,32767,-69,32767,32767,32767
780546921,32767,32767,32767,32767,32767,-52,32767,32767
780550953,32767,32767,32767,32767,-55,32767,32767,32767
780554921,32767,32767,32767,32767,32767,32767,32767,32767
780558938,32767,32767,32767,32767,32767,-72,32767,32767
780562921,32767,32767,32767,32767,-65,32767,32767,32767
780566921,32767,32767,32767,32767,32767,-52,32767,32767
780570922,32767,32767,32767,32767,32767,32767,32767,32767
780574921,32767,32767,32767,32767,32767,32767,32767,32767
780578931,32767,32767,32767,32767,32767,-71,32767,32767
780582921,32767,32767,32767,32767,32767,32767,32767,32767
780586921,32767,32767,32767,32767,-64,-52,32767,32767
780590930,32767,32767,32767,32767,32767,32767,32767,32767
780594921,32767,32767,32767,32767,-45,32767,32767,32767
780598921,32767,32767,32767,32767,32767,-72,32767,32767
780602921,32767,32767,32767,32767,32767,32767,32767,32767
780606924,32767,32767,32767,32767,-55,-52,32767,32767
780610921,32767,32767,32767,32767,32767,32767,32767,32767
780614921,32767,32767,32767,32767,32767,32767,32767,32767
780618921,32767,32767,32767,32767,32767,-71,32767,32767
780622937,32767,32767,32767,32767,32767,32767,32767,32767
780626921,32767,32767,32767,32767,-45,-52,32767,32767
780630921,32767,32767,32767,32767,32767,32767,32767,32767
780634921,32767,32767,32767,32767,32767,32767,32767,32767
780638921,32767,32767,32767,32767,-55,-71,32767,32767
780642938,32767,32767,32767,32767,32767,32767,32767,32767
780646921,32767,32767,32767,32767,32767,-51,32767,32767
780650921,32767,32767,32767,32767,-65,32767,32767,32767
780654921,32767,32767,32767,32767,32767,32767,32767,32767
780658921,32767,32767,32767,32767,32767,-72,32767,32767
780662921,32767,32767,32767,32767,32767,32767,32767,32767
780667721,32767,32767,32767,32767,32767,-60,32767,32767
780671746,32767,32767,32767,32767,-53,32767,32767,32767
780675721,32767,32767,32767,32767,32767,-39,32767,32767
780679721,32767,32767,32767,32767,32767,32767,32767,32767
780683723,32767,32767,32767,32767,-68,32767,32767,32767
780687720,32767,32767,32767,32767,32767,-59,32767,32767
780691744,32767,32767,32767,32767,-43,32767,32767,32767
780695728,32767,32767,32767,32767,32767,-39,32767,32767
780699759,32767,32767,32767,32767,32767,32767,32767,32767
780703721,32767,32767,32767,32767,32767,32767,32767,32767
780707721,32767,32767,32767,32767,32767,-59,32767,32767
780711721,32767,32767,32767,32767,32767,32767,32767,32767
780715721,32767,32767,32767,32767,-63,-39,32767,32767
780719721,32767,32767,32767,32767,32767,32767,32767,32767
780723737,32767,32767,32767,32767,32767,32767,32767,32767
780727759,32767,32767,32767,32767,-71,-59,32767,32767
780731720,32767,32767,-42,32767,32767,32767,32767,32767
780735721,32767,32767,32767,32767,-43,-39,32767,32767
780739721,32767,32767,32767,32767,32767,32767,32767,32767
780743738,32767,32767,32767,32767,32767,32767,32767,32767
780747721,32767,32767,32767,32767,32767,-59,32767,32767
780751721,32767,32767,32767,32767,32767,32767,32767,32767
780755759,32767,32767,32767,32767,32767,-39,32767,32767
780759721,32767,32767,32767,32767,-69,32767,32767,32767
780763721,32767,32767,32767,32767,32767,32767,32767,32767
780767721,32767,32767,32767,32767,-43,-59,32767,32767
780771721,32767,32767,32767,32767,32767,32767,32767,32767
780775721,32767,32767,32767,32767,32767,-39,32767,32767
780779741,32767,32767,32767,32767,-53,32767,32767,32767
780783759,32767,32767,32767,32767,32767,32767,32767,32767
780787721,32767,32767,32767,32767,32767,-60,32767,32767
780791721,32767,32767,32767,32767,32767,32767,32767,32767
780795720,32767,32767,32767,32767,32767,-40,32767,32767
780799721,32767,32767,32767,32767,-43,32767,32767,32767
780803721,32767,32767,32767,32767,32767,32767,32767,32767
780807741,32767,32767,32767,32767,32767,-60,32767,32767
780811761,32767,32767,32767,32767,-53,32767,32767,32767
780815721,32767,32767,32767,32767,32767,-39,32767,32767
780819741,32767,32767,32767,32767,32767,32767,32767,32767
780823721,32767,32767,32767,32767,-63,32767,32767,32767
780827751,32767,32767,32767,32767,32767,-60,32767,32767
780831765,32767,32767,32767,32767,32767,32767,32767,32767
780835721,32767,32767,32767,32767,32767,-39,32767,32767
780839759,32767,32767,32767,32767,32767,32767,32767,32767
780843721,32767,32767,32767,32767,-43,32767,32767,32767
780847721,32767,32767,32767,32767,32767,-60,32767,32767
780851721,32767,32767,32767,32767,32767,32767,32767,32767
780855721,32767,32767,32767,32767,-53,-39,32767,32767
780859721,32767,32767,32767,32767,32767,32767,32767,32767
780863721,32767,32767,32767,32767,32767,32767,32767,32767
780867734,32767,32767,32767,32767,-63,-60,32767,32767
780871721,32767,32767,32767,32767,32767,32767,32767,32767
780875721,32767,32767,32767,32767,32767,-39,32767,32767
780879721,32767,32767,32767,32767,32767,32767,32767,32767
780883720,32767,32767,32767,32767,32767,32767,32767,32767
780887721,32767,32767,32767,32767,-43,-60,32767,32767
780891741,32767,32767,32767,32767,32767,32767,32767,32767
780895759,32767,32767,32767,32767,32767,-39,32767,32767
780899721,32767,32767,32767,32767,-55,32767,32767,32767
780903721,32767,32767,32767,32767,32767,32767,32767,32767
780907726,32767,32767,32767,32767,32767,-60,32767,32767
780911726,32767,32767,32767,32767,-70,32767,32767,32767
780915721,32767,32767,32767,32767,32767,-40,32767,32767
780919721,32767,32767,32767,32767,32767,32767,32767,32767
780923759,32767,32767,32767,32767,32767,32767,32767,32767
780927745,32767,32767,32767,32767,32767,-60,32767,32767
780931721,32767,32767,-43,32767,-53,32767,32767,32767
780935721,32767,32767,32767,32767,32767,-40,32767,32767
780939721,32767,32767,32767,32767,32767,32767,32767,32767
780943721,32767,32767,32767,32767,-63,32767,32767,32767
780947731,32767,32767,32767,32767,32767,-60,32767,32767
780951759,32767,32767,32767,32767,-43,32767,32767,32767
780955721,32767,32767,32767,32767,32767,-39,32767,32767
780959721,32767,32767,32767,32767,32767,32767,32767,32767
780963721,32767,32767,32767,32767,32767,32767,32767,32767
780967734,32767,32767,32767,32767,32767,-60,32767,32767
780971721,32767,32767,32767,32767,32767,32767,32767,32767
780975743,32767,32767,32767,32767,-63,-40,32767,32767
780979759,32767,32767,32767,32767,32767,32767,32767,32767
780983721,32767,32767,32767,32767,-43,32767,32767,32767
780987721,32767,32767,32767,32767,32767,-60,32767,32767
780991721,32767,32767,32767,32767,32767,32767,32767,32767
780995760,32767,32767,32767,32767,-59,-40,32767,32767
780999723,32767,32767,32767,32767,32767,32767,32767,32767
781003721,32767,32767,32767,32767,32767,32767,32767,32767
781007759,32767,32767,32767,32767,32767,-60,32767,32767
781011720,32767,32767,32767,32767,32767,32767,32767,32767
781015731,32767,32767,32767,32767,-43,-40,32767,32767
781019721,32767,32767,32767,32767,32767,32767,32767,32767
781023721,32767,32767,32767,32767,32767,32767,32767,32767
781027721,32767,32767,32767,32767,-54,-60,32767,32767
781031721,32767,32767,32767,32767,32767,32767,32767,32767
781035742,32767,32767,32767,32767,32767,-40,32767,32767
781039721,32767,32767,32767,32767,-69,32767,32767,32767
781043721,32767,32767,32767,32767,32767,32767,32767,32767
781047721,32767,32767,32767,32767,32767,-60,32767,32767
781051721,32767,32767,32767,32767,32767,32767,32767,32767
781055731,32767,32767,32767,32767,32767,-40,32767,32767
781059741,32767,32767,32767,32767,-53,32767,32767,32767
781063759,32767,32767,32767,32767,32767,32767,32767,32767
781067721,32767,32767,32767,32767,32767,-59,32767,32767
781071721,32767,32767,32767,32767,-63,32767,32767,32767
781075751,32767,32767,32767,32767,32767,-40,32767,32767
781079738,32767,32767,32767,32767,-43,32767,32767,32767
781083721,32767,32767,32767,32767,32767,32767,32767,32767
781087721,32767,32767,32767,32767,32767,-59,32767,32767
781091759,32767,32767,32767,32767,32767,32767,32767,32767
781095731,32767,32767,32767,32767,32767,-39,32767,32767
781099721,32767,32767,32767,32767,32767,32767,32767,32767
781103721,32767,32767,32767,32767,-71,32767,32767,32767
781107720,32767,32767,32767,32767,32767,-59,32767,32767
781111721,32767,32767,32767,32767,-43,32767,32767,32767
781115739,32767,32767,32767,32767,32767,-40,32767,32767
781119759,32767,32767,32767,32767,32767,32767,32767,32767
781123721,32767,32767,32767,32767,-57,32767,32767,32767
781127721,32767,32767,32767,32767,32767,-60,32767,32767
781131721,32767,32767,-62,32767,32767,32767,32767,32767
781135721,32767,32767,32767,32767,32767,-40,32767,32767
781139720,32767,32767,32767,32767,32767,32767,32767,32767
781143741,32767,32767,32767,32767,-42,32767,32767,32767
781147759,32767,32767,32767,32767,32767,-60,32767,32767
781151721,32767,32767,32767,32767,32767,32767,32767,32767
781155721,32767,32767,32767,32767,-53,-40,32767,32767
781159721,32767,32767,32767,32767,32767,32767,32767,32767
781163734,32767,32767,32767,32767,32767,32767,32767,32767
781167721,32767,32767,32767,32767,-63,-60,32767,32767
781171721,32767,32767,32767,32767,32767,32767,32767,32767
781175759,32767,32767,32767,32767,32767,-40,32767,32767
781179722,32767,32767,32767,32767,32767,32767,32767,32767
781183727,32767,32767,32767,32767,32767,32767,32767,32767
781187721,32767,32767,32767,32767,32767,-60,32767,32767
781191721,32767,32767,32767,32767,-72,32767,32767,32767
781195720,32767,32767,32767,32767,32767,-40,32767,32767
781199721,32767,32767,32767,32767,-43,32767,32767,32767
781203749,32767,32767,32767,32767,32767,32767,32767,32767
781207721,32767,32767,32767,32767,32767,-60,32767,32767
781211722,32767,32767,32767,32767,-53,32767,32767,32767
781215721,32767,32767,32767,32767,32767,-40,32767,32767
781219721,32767,32767,32767,32767,32767,32767,32767,32767
781223721,32767,32767,32767,32767,32767,32767,32767,32767
781227725,32767,32767,32767,32767,32767,-60,32767,32767
781231759,32767,32767,32767,32767,-43,32767,32767,32767
781235721,32767,32767,32767,32767,32767,-39,32767,32767
781239721,32767,32767,32767,32767,32767,32767,32767,32767
781243737,32767,32767,32767,32767,-53,32767,32767,32767
781247738,32767,32767,32767,32767,32767,-60,32767,32767
781251721,32767,32767,32767,32767,32767,32767,32767,32767
781255721,32767,32767,32767,32767,-72,-40,32767,32767
781259720,32767,32767,32767,32767,32767,32767,32767,32767
781263744,32767,32767,32767,32767,32767,32767,32767,32767
781267721,32767,32767,32767,32767,32767,-60,32767,32767
781271721,32767,32767,32767,32767,32767,32767,32767,32767
781275721,32767,32767,32767,32767,-53,-39,32767,32767
781279721,32767,32767,32767,32767,32767,32767,32767,32767
781283721,32767,32767,32767,32767,32767,32767,32767,32767
781287763,32767,32767,32767,32767,-63,-60,32767,32767
781291721,32767,32767,32767,32767,32767,32767,32767,32767
781295721,32767,32767,32767,32767,32767,-39,32767,32767
781299721,32767,32767,32767,32767,-56,32767,32767,32767
781303721,32767,32767,32767,32767,32767,32767,32767,32767
781307721,32767,32767,32767,32767,32767,-60,32767,32767
781311756,32767,32767,32767,32767,32767,32767,32767,32767
781315759,32767,32767,32767,32767,32767,-39,32767,32767
781319721,32767,32767,32767,32767,-43,32767,32767,32767
781323721,32767,32767,32767,32767,32767,32767,32767,32767
781327721,32767,32767,32767,32767,32767,-60,32767,32767
781331758,32767,32767,-42,32767,-53,32767,32767,32767
781335721,32767,32767,32767,32767,32767,-39,32767,32767
781339721,32767,32767,32767,32767,32767,32767,32767,32767
781343759,32767,32767,32767,32767,-63,32767,32767,32767
